"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Kevin White","CHI","0.6","1.7","0.0","44.6","543.8","3.2","0.6","72.5"
"J.J. Nelson","ARI","2.1","14.2","0.1","29.9","490.6","3.8","1.5","70.8"
"Terrance Williams","DAL","0.0","0.0","0.0","38.8","547.1","3.0","1.1","70.5"
"Chris Conley","KC","0.0","0.0","0.0","45.2","540.5","2.7","0.4","69.7"
"Brandon LaFell","CIN","0.3","0.4","0.0","39.3","515.1","2.9","0.3","68.4"
"Marquise Goodwin","SF","0.6","3.9","0.0","34.4","497.4","2.8","0.4","66.1"
"ArDarius Stewart","NYJ","0.3","1.0","0.0","38.6","498.9","2.8","0.6","65.7"
"Chris Hogan","NE","2.4","15.4","0.1","31.9","486.2","2.9","1.1","65.5"
"Tavon Austin","LAR","18.8","120.8","0.7","38.7","389.6","2.2","1.6","65.3"
"Robert Woods","LAR","0.0","0.4","0.0","40.8","492.9","2.7","0.6","64.0"
"Curtis Samuel","CAR","12.7","65.2","0.3","31.4","398.7","2.7","0.6","63.6"
"John Ross","CIN","2.1","11.2","0.0","37.3","469.1","2.7","0.6","63.2"
"Nelson Agholor","PHI","3.0","16.0","0.1","40.3","458.7","2.6","0.5","62.4"
"Seth Roberts","OAK","0.0","0.2","0.0","33.5","413.4","3.5","0.3","61.5"
"Kendall Wright","CHI","1.1","5.9","0.0","34.3","429.4","2.3","0.4","56.4"
"Tyler Boyd","CIN","1.5","10.6","0.0","38.3","448.6","2.1","1.4","56.2"
"Eli Rogers","PIT","0.5","3.3","0.0","30.7","389.6","2.5","0.4","53.8"
"Laquon Treadwell","MIN","0.3","1.0","0.0","33.8","399.8","2.4","0.6","53.2"
"Cooper Kupp","LAR","0.0","0.0","0.0","35.7","423.8","1.9","0.6","52.4"
"Travis Benjamin","LAC","1.3","6.2","0.0","31.5","439.7","2.4","3.4","52.3"
"Jeremy Kerley","SF","0.6","3.9","0.0","39.0","422.4","1.9","1.0","51.8"
"Adam Humphries","TB","2.7","16.0","0.0","33.4","368.4","2.0","0.3","50.2"
"Jermaine Kearse","SEA","0.0","0.0","0.0","29.2","376.3","2.1","0.2","49.8"
"Phillip Dorsett","IND","1.6","10.0","0.0","25.0","361.9","2.0","0.4","48.7"
"Albert Wilson","KC","1.5","12.0","0.1","33.4","360.2","1.9","0.4","48.3"
"Will Fuller","HOU","0.5","3.3","0.0","27.5","356.3","1.9","0.2","47.2"
"Markus Wheaton","CHI","0.1","0.9","0.0","27.5","371.6","2.0","1.2","47.1"
